system,n_questions,token_F1,ROUGE_L,exact_match,false_refusal_rate,refusal_accuracy,P@1,Recall@1,P@3,Recall@3,P@5,Recall@5,P@10,Recall@10,MAP,nDCG@10,MRR,doc_MAP,doc_MRR,citation_precision,citation_recall,answers_with_citation,hallucinated_citation_rate
closed_book,25,0.1847,0.1784,0.0,0.2,0.8,,,,,,,,,,,,,,,,,
bm25,25,0.3611,0.3496,0.0,0.05,1.0,0.35,0.325,0.1667,0.45,0.14,0.6,0.085,0.7,0.4306,0.5052,0.4579,0.6281,0.6896,0.4167,0.5,0.95,0.0
dense,25,0.3854,0.3672,0.0,0.1,1.0,0.45,0.425,0.2333,0.625,0.17,0.725,0.105,0.85,0.5706,0.649,0.5988,0.85,0.875,0.5417,0.6,0.9,0.0
hybrid,25,0.4195,0.3798,0.0,0.05,1.0,0.45,0.4,0.2667,0.7,0.19,0.8,0.11,0.9,0.5819,0.6715,0.6183,0.7933,0.8333,0.6417,0.725,0.95,0.0
